departamento,codigodanedepartamento,municipio,codigodanemunicipio,ano,mes,tipodesminado,areadespejada,map,muse,aei,totalartefactosdestruidos,organizacion,estudiosnotecnicos,estudiostecnicos,operacionesdespeje,areaspeligrosas,areaspeligrosasconfirmadas
CAUCA,19,CALOTO,19142,2018,4,Comunidades,0,0,0,0,0,HI,3,0,0,0,0
META,50,LA MACARENA,50350,2019,9,Comunidades,1563,0,148,0,148,BRDEH,0,0,1,0,0
SANTANDER,68,SIMACOTA,68745,2020,7,Comunidades,6499,0,0,0,0,BRDEH,0,0,1,0,0
TOLIMA,73,RONCESVALLES,73622,2022,10,Comunidades,0,0,0,0,0,BRDEH,0,0,0,1,0
CAUCA,19,PÁEZ,19517,2023,2,Comunidades,0,0,0,0,0,HI,4,0,0,0,0
SUCRE,70,SUCRE,70771,2019,7,Comunidades,0,0,0,0,0,BRDEH,1,0,0,0,0
VICHADA,99,CUMARIBO,99773,2022,6,Comunidades,0,0,1,0,1,CCCM,3,0,0,0,0
ANTIOQUIA,5,GRANADA,5313,2015,3,Comunidades,7786,1,0,0,1,BRDEH,7,1,1,0,0
ANTIOQUIA,5,CARMEN DE VIBORAL,5148,2015,2,Comunidades,0,0,0,0,0,HALO,0,0,0,0,2
BOLIVAR,13,EL CARMEN DE BOLÍVAR,13244,2016,10,Comunidades,736,0,0,0,0,BDIAN,0,0,1,0,0
CESAR,20,VALLEDUPAR,20001,2023,5,Comunidades,0,0,0,0,0,BRDEH,2,0,0,0,0
META,50,VISTAHERMOSA,50711,2010,10,Comunidades,2488,2,2,0,4,BRDEH,0,1,1,0,0
ANTIOQUIA,5,SAN CARLOS,5649,2016,11,Comunidades,31217,0,4,0,4,BRDEH,0,0,3,0,0
CAQUETA,18,MONTAÑITA,18410,2021,3,Comunidades,7391,0,0,0,0,BRDEH,0,0,1,0,0
SANTANDER,68,SABANA DE TORRES,68655,2016,11,Comunidades,0,0,0,0,0,BRDEH,0,0,0,1,0
ANTIOQUIA,5,APARTADÓ,5045,2021,10,Comunidades,0,0,0,0,0,BRDEH,5,0,0,0,0
PUTUMAYO,86,PUERTO CAICEDO,86569,2023,4,Comunidades,0,0,0,0,0,CCCM,2,0,0,0,0
VALLE DEL CAUCA,76,PALMIRA,76520,2019,4,Comunidades,0,0,0,0,0,BRDEH,0,0,0,1,0
ANTIOQUIA,5,GUATAPÉ,5321,2016,5,Comunidades,0,0,0,0,0,BRDEH,9,0,0,0,0
CAUCA,19,LA SIERRA,19392,2020,2,Comunidades,0,0,0,0,0,BRDEH,5,0,0,0,0
